Roi,Type,GoalCriteria,AcceptanceLevel,ParameterValue,Weight,Shape
Chestwall,MaxDvh,AtMost,3000,3.9,1,linear
D2cm,MaxDose,AtMost,3000,,1,linear_quadratic
Esophagus,MaxDvh,AtMost,1880,12.02,1,linear_quadratic
Lungs,MaxDvh,AtMost,1160,41.98,1,linear_quadratic
Lungs,MaxDvh,AtMost,1240,27.99,1,linear_quadratic
PTV,MinDvh,AtLeast,4800,95,1,linear_quadratic
PTV,MaxDose,AtMost,8000,,1,linear_quadratic
Rib,MaxDvh,AtMost,3200,1.1,1,linear
Rib,MaxDose,AtMost,4000,,1,linear
SpinalCanal,MaxDvh,AtMost,1360,1.65,1,linear_quadratic
SpinalCanal,MaxDose,AtMost,2600,,1,linear_quadratic
